card_id,name,rarity,card_type,cost,life,attribute,power,counter,color,block_icon,type,effect,trigger,card_set,card_image_url
EB04-001,Jewelry Bonney,L,Leader,,4,Special,5000,,Red/Yellow,4,Egghead/Bonney Pirates,"[Opponent's Turn] If you have 1 or less Life cards, this Leader gains +2000 power.
[Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −1000 power during this turn. Then, if you have 2 or more Life cards, you may add 1 card from the top of your Life cards to your hand.",,-EGGHEAD CRISIS- [EB-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB04-001.png
EB04-001_p1,Jewelry Bonney,L,Leader,,4,Special,5000,,Red/Yellow,4,Egghead/Bonney Pirates,"[Opponent's Turn] If you have 1 or less Life cards, this Leader gains +2000 power.
[Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −1000 power during this turn. Then, if you have 2 or more Life cards, you may add 1 card from the top of your Life cards to your hand.",,-EGGHEAD CRISIS- [EB-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB04-001_p1.png
EB04-002,Jewelry Bonney,R,Character,1,,Special,2000,1000,Red,4,Egghead/Bonney Pirates,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Egghead} or {Straw Hat Crew} type card other than [Jewelry Bonney] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-EGGHEAD CRISIS- [EB-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB04-002.png
EB04-002_p1,Jewelry Bonney,R,Character,1,,Special,2000,1000,Red,4,Egghead/Bonney Pirates,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Egghead} or {Straw Hat Crew} type card other than [Jewelry Bonney] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-EGGHEAD CRISIS- [EB-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB04-002_p1.png
EB04-003,Smoker & Tashigi,R,Character,8,,Slash/Special,8000,,Red,4,Punk Hazard/Navy,"[Rush] (This card can attack on the turn in which it is played.)
[Opponent's Turn] Your {Navy} type Leader's base power becomes 7000.",,-EGGHEAD CRISIS- [EB-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB04-003.png
EB04-004,Zeff,C,Character,7,,Strike,8000,,Red,4,East Blue,[When Attacking] Your Leader's base power becomes 7000 until the end of your opponent's next End Phase.,,-EGGHEAD CRISIS- [EB-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB04-004.png
EB04-005,Trafalgar Law,C,Character,3,,Slash,5000,2000,Red,4,The Seven Warlords of the Sea/Supernovas/Heart Pirates,This Character cannot attack unless your opponent has 2 or more Characters with a base power of 5000 or more.,,-EGGHEAD CRISIS- [EB-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB04-005.png
EB04-006,Moda,C,Character,1,,Wisdom,,2000,Red,4,Lulucia Kingdom,"[On Play] Look at 7 cards from the top of your deck; reveal up to 1 [Lulucia Kingdom] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-EGGHEAD CRISIS- [EB-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB04-006.png
EB04-007,Roronoa Zoro,SR,Character,7,,Slash,9000,,Red,4,Egghead/Straw Hat Crew,"[On Play] Your Leader gains +2000 power until the end of your opponent's next End Phase.
[Activate: Main] [Once Per Turn] If your opponent has a Character with 8000 power or more, this Character gains [Rush: Character] during this turn.",,-EGGHEAD CRISIS- [EB-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB04-007.png
EB04-007_p1,Roronoa Zoro,SR,Character,7,,Slash,9000,,Red,4,Egghead/Straw Hat Crew,"[On Play] Your Leader gains +2000 power until the end of your opponent's next End Phase.
[Activate: Main] [Once Per Turn] If your opponent has a Character with 8000 power or more, this Character gains [Rush: Character] during this turn.",,-EGGHEAD CRISIS- [EB-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB04-007_p1.png
