card_id,name,rarity,card_type,cost,life,attribute,power,counter,color,block_icon,type,effect,trigger,card_set,card_image_url
ST04-001,Kaido,L,Leader,,5,Strike,5000,,Purple,1,The Four Emperors/Animal Kingdom Pirates,[Activate: Main] [Once Per Turn] DON!! −7 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Trash up to 1 of your opponent's Life cards.,,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-001.png
ST04-002,Ulti,C,Character,4,,Strike,5000,2000,Purple,1,Animal Kingdom Pirates,[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Play up to 1 [Page One] card with a cost of 4 or less from your hand.,,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-002.png
ST04-003,Kaido,SR,Character,9,,Strike,10000,,Purple,1,The Four Emperors/Animal Kingdom Pirates,"[On Play] DON!! −5 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 6 or less. This Character gains [Rush] during this turn.
(This card can attack on the turn in which it is played.)",,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-003.png
ST04-004,King,SR,Character,6,,Special,7000,,Purple,1,Animal Kingdom Pirates,[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 4 or less.,,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-004.png
ST04-005,Queen,C,Character,5,,Strike,6000,1000,Purple,1,Animal Kingdom Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)
[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Draw 2 cards and trash 1 card from your hand.",,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-005.png
ST04-006,Sasaki,C,Character,3,,Ranged,4000,1000,Purple,1,Animal Kingdom Pirates,[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Draw 1 card.,,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-006.png
ST04-007,Sheepshead,C,Character,2,,Slash,4000,1000,Purple,1,Animal Kingdom Pirates/Smile,,,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-007.png
ST04-008,Jack,C,Character,3,,Strike,4000,1000,Purple,1,Animal Kingdom Pirates,[On Play] You may trash 1 card from your hand: Add up to 1 DON!! card from your DON!! deck and set it as active.,,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-008.png
ST04-009,Ginrummy,C,Character,1,,Strike,3000,1000,Purple,1,Animal Kingdom Pirates/Smile,,,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-009.png
ST04-010,Who's.Who,C,Character,3,,Slash,3000,,Purple,1,Animal Kingdom Pirates,[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 3 or less.,[] Play this card.,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-010.png
ST04-011,Black Maria,C,Character,2,,Special,2000,1000,Purple,1,Animal Kingdom Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-011.png
ST04-012,Page One,C,Character,4,,Strike,6000,1000,Purple,1,Animal Kingdom Pirates,,,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-012.png
ST04-013,X.Drake,C,Character,3,,Slash,5000,1000,Purple,1,Navy/Drake Pirates/Animal Kingdom Pirates,,,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-013.png
ST04-014,"Lead Performer ""Disaster""",C,Event,4,,,,,Purple,1,Animal Kingdom Pirates,"[Main] Draw 1 card, then add up to 1 DON!! card from your DON!! deck and set it as active.",[] Activate this card's [Main] effect.,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-014.png
ST04-015,Brachio Bomber,C,Event,6,,,,,Purple,1,Animal Kingdom Pirates,"[Main] K.O. up to 1 of your opponent's Characters with a cost of 6 or less, then add up to 1 DON!! card from your DON!! deck and set it as active.",[] Add 1 DON!! card from your DON!! Deck and set it as active.,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-015.png
ST04-016,Blast Breath,C,Event,1,,,,,Purple,1,The Four Emperors/Animal Kingdom Pirates,[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Up to 1 of your Leader or Character cards gains +4000 power during this battle.,,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-016.png
ST04-017,Onigashima Island,C,Stage,3,,,,,Purple,1,Animal Kingdom Pirates,"[Activate: Main] You may rest this Stage: If your Leader has the {Animal Kingdom Pirates} type, add up to 1 DON!! card from your DON!! deck and rest it.",,-Animal Kingdom Pirates- [ST-04],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST04-017.png
