card_id,name,rarity,card_type,cost,life,attribute,power,counter,color,block_icon,type,effect,trigger,card_set,card_image_url
EB01-006_r1,Tony Tony.Chopper,SR,Character,3,,Strike,4000,1000,Red,2,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)
[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,-ONE PIECE CARD THE BEST- [PRB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-006_r1.png
OP01-006_p1,Otama,UC,Character,1,,Special,,2000,Red,1,Land of Wano,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,-ONE PIECE CARD THE BEST- [PRB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p1.png
OP01-006_p2,Otama,UC,Character,1,,Special,,2000,Red,1,Land of Wano,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,-ONE PIECE CARD THE BEST- [PRB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p2.png
OP01-006_p3,Otama,UC,Character,1,,Special,,2000,Red,1,Land of Wano,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,-ONE PIECE CARD THE BEST- [PRB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p3.png
OP01-006_r1,Otama,UC,Character,1,,Special,,2000,Red,1,Land of Wano,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,-ONE PIECE CARD THE BEST- [PRB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/OP01-006_r1.png
OP01-016_p7,Nami,R,Character,1,,Special,2000,1000,Red,1,Straw Hat Crew,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST- [PRB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/OP01-016_p7.png
OP01-024_p2,Monkey.D.Luffy,SR,Character,2,,Strike,3000,1000,Red,1,Supernovas/Straw Hat Crew,"[DON!! x2] This Character cannot be K.O.'d in battle by <Strike> attribute Characters.
[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.",,-ONE PIECE CARD THE BEST- [PRB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/OP01-024_p2.png
OP01-024_r1,Monkey.D.Luffy,SR,Character,2,,Strike,3000,1000,Red,1,Supernovas/Straw Hat Crew,"[DON!! x2] This Character cannot be K.O.'d in battle by <Strike> attribute Characters.
[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.",,-ONE PIECE CARD THE BEST- [PRB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/OP01-024_r1.png
OP01-029_p3,Radical Beam!!,UC,Event,1,,,,,Red,1,Straw Hat Crew,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.",[] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,-ONE PIECE CARD THE BEST- [PRB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/OP01-029_p3.png
OP01-029_p4,Radical Beam!!,UC,Event,1,,,,,Red,1,Straw Hat Crew,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.",[] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,-ONE PIECE CARD THE BEST- [PRB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/OP01-029_p4.png
